Organisms	Organisms.1
cceu	Cellulosimicrobium cellulans
xya	Xylanimicrobium sp. FW10M-9
ske	Sanguibacter keddieii
sanw	Sanguibacter sp. HDW7
cfl	Cellulomonas flavigena
cfi	Cellulomonas fimi
cga	Cellulomonas gilvus
cez	Cellulomonas sp. PSBB021
celz	Cellulomonas shaoxiangyii
cej	Cellulomonas sp. JZ18
celh	Cellulomonas sp. H30R-01
oek	Oerskovia sp. KBS0722
psei	Pseudactinotalea sp. HY158
ica	Intrasporangium calvum
ars	Arsenicicoccus sp. oral taxon 190
serj	Serinicoccus hydrothermalis
serw	Serinicoccus sp. W204
jte	Janibacter indicus
jli	Janibacter limosus
jme	Janibacter melonis
orn	Ornithinimicrobium sp. AMA3305
orz	Ornithinimicrobium sp. H23M54
teh	Tetrasphaera sp. HKS02
phw	Phycicoccus sp. HDW14
pei	Phycicoccus endophyticus
bly	Brevibacterium linens BS258
blin	Brevibacterium aurantiacum
bri	Brevibacterium sp. CS2
blut	Brevibacterium luteolum
dco	Dermatophilus congolensis
gez	Georgenia sp. Z294
pac	Cutibacterium acnes KPA171202
pak	Cutibacterium acnes SK137
pav	Cutibacterium acnes TypeIA2 P.acn17
pax	Cutibacterium acnes TypeIA2 P.acn31
paz	Cutibacterium acnes TypeIA2 P.acn33
paw	Cutibacterium acnes 266
pad	Cutibacterium acnes subsp. defendens ATCC 11828
pcn	Cutibacterium acnes 6609
pacc	Cutibacterium acnes C1
pach	Cutibacterium acnes HL096PA1
pacn	Cutibacterium acnes hdn-1
cacn	Cutibacterium acnes KCOM 1861 (= ChDC B594)
pra	Cutibacterium avidum
cgrn	Cutibacterium granulosum
pfr	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1
pfre	Propionibacterium freudenreichii subsp. freudenreichii DSM 20271
prl	Propionibacterium sp. oral taxon 193
pacd	Propionibacterium acidifaciens
paus	Propionibacterium australiense
ppc	Pseudopropionibacterium propionicum
pbo	Acidipropionibacterium acidipropionici ATCC 4875
aaci	Acidipropionibacterium acidipropionici CGMCC 1.2230
acij	Acidipropionibacterium virtanenii
aji	Acidipropionibacterium jensenii
mph	Microlunatus phosphovorus
mik	Microlunatus sp. KUDC0627
micg	Microlunatus sp. Gsoil 973
tfl	Tessaracoccus flavus
tfa	Tessaracoccus flavescens
tes	Tessaracoccus aquimaris
tez	Tessaracoccus sp. T2.5-30
tdf	Tessaracoccus defluvii
rain	Raineyella sp. CBA3103
prv	Propioniciclava sp. HDW11
nca	Nocardioides sp. JS614
ndk	Nocardioides dokdonensis
noy	Nocardioides euryhalodurans
noi	Nocardioides sp. dk3136
noo	Nocardioides sp. S-1144
ndp	Nocardioides daphniae
nsn	Nocardioides seonyuensis
nbe	Nocardioides baekrokdamisoli
kfl	Kribbella flavida
kqi	Kribbella qitaiheensis
psim	Pimelobacter simplex
aer	Aeromicrobium erythreum
aez	Aeromicrobium sp. 592
aeb	Aeromicrobium sp. A1-2
aef	Aeromicrobium sp. MF47
mgg	Micropruina glycogenica
muz	Mumia sp. ZJ1417
tfu	Thermobifida fusca
nda	Nocardiopsis dassonvillei
nal	Nocardiopsis alba
ngv	Nocardiopsis gilva
nfe	Nocardiopsis flavescens
strr	Streptomonospora sp. M2
tcu	Thermomonospora curvata
actw	Actinomadura sp. WMMB499
sro	Streptosporangium roseum
noa	Nonomuraea sp. ATCC 55076
now	Nonomuraea sp. WYY166
fra	Frankia casuarinae
fre	Frankia sp. EAN1pec
fri	Frankia inefficax
fal	Frankia alni
fsy	Candidatus Frankia datiscae
ace	Acidothermus cellulolyticus
nml	Nakamurella multipartita
nak	Nakamurella sp. s14-144
gob	Geodermatophilus obscurus
bsd	Blastococcus saxobsidens
mmar	Modestobacter marinus
kra	Kineococcus radiotolerans
sen	Saccharopolyspora erythraea
sace	Saccharopolyspora sp. E2A
sacg	Saccharopolyspora sp. ASAGF58
svi	Saccharomonospora viridis
sacc	Saccharomonospora sp. 31sw
amd	Amycolatopsis mediterranei U32
amn	Amycolatopsis mediterranei S699
amm	Amycolatopsis mediterranei S699
amz	Amycolatopsis mediterranei RB
aoi	Amycolatopsis keratiniphila
aja	Amycolatopsis japonica
amq	Amycolatopsis methanolica
amyc	Amycolatopsis sp. AA4
amyb	Amycolatopsis sp. BJA-103
aab	Amycolatopsis albispora
amyy	Amycolatopsis sp. YIM 10
aori	Amycolatopsis orientalis
pdx	Pseudonocardia dioxanivorans
psea	Pseudonocardia sp. AL041005-10
psee	Pseudonocardia sp. EC080625-04
pseh	Pseudonocardia sp. HH130629-09
pseq	Pseudonocardia sp. EC080610-09
pecq	Pseudonocardia sp EC080619-01
phh	Pseudonocardia sp. HH130630-07
paut	Pseudonocardia autotrophica
apre	Actinosynnema pretiosum
ami	Actinosynnema mirum
sesp	Saccharothrix espanaensis
ssyi	Saccharothrix syringae
kal	Kutzneria albida
kphy	Kibdelosporangium phytohabitans
led	Lentzea guizhouensis
ahm	Actinoalloteichus hymeniacidonis
acti	Actinoalloteichus sp. GBA129-24
acad	Actinoalloteichus fjordicus
ahg	Actinoalloteichus hoggarensis
acta	Actinoalloteichus sp. AHMU CJ021
alo	Alloactinosynnema sp. L-07
pmad	Prauserella marina
stp	Salinispora tropica
saq	Salinispora arenicola
mau	Micromonospora aurantiaca
mil	Micromonospora sp. L5
micb	Micromonospora sp. B006
mtua	Micromonospora tulbaghiae
mich	Micromonospora sp. HM134
mtem	Micromonospora terminaliae
mcab	Micromonospora carbonacea
vma	Verrucosispora maris
ase	Actinoplanes sp. SE50/110
ams	Actinoplanes missouriensis
actn	Actinoplanes sp. N902-109
afs	Actinoplanes friuliensis
acts	Actinoplanes sp. SE50
plk	Plantactinospora sp. KBS50
plab	Plantactinospora sp. BC1
plat	Plantactinospora sp. BB1
pfla	Phytohabitans flavus
psuu	Phytohabitans suffuscus
cai	Catenulispora acidiphila
sna	Stackebrandtia nassauensis
ahe	Arcanobacterium haemolyticum
arca	Arcanobacterium sp. 2701
mcu	Mobiluncus curtisii
tpy	Trueperella pyogenes TP6375
tpyo	Trueperella pyogenes TP8
tbw	Trueperella bialowiezensis
asg	Actinotignum schaalii
actt	Actinobaculum sp. 313
amy	Schaalia meyeri
soo	Schaalia odontolytica
acq	Actinomyces sp. oral taxon 414
aos	Actinomyces oris
ard	Actinomyces radicidentis
avu	Actinomyces tangfeifanii
actp	Actinomyces gaoshouyii
actc	Actinomyces sp. Chiba101
acto	Actinomyces sp. oral taxon 897
ane	Actinomyces naeslundii
ahw	Actinomyces howellii
actz	Actinomyces sp. 432
air	Actinomyces israelii
asla	Actinomyces slackii
avc	Actinomyces viscosus
fsl	Flaviflexus salsibiostraticola
flh	Flaviflexus sp. H23T48
blo	Bifidobacterium longum NCC2705
blj	Bifidobacterium longum DJO10A
bln	Bifidobacterium longum subsp. infantis ATCC 15697 (JGI)
blon	Bifidobacterium longum subsp. infantis ATCC 15697 (Tokyo)
blf	Bifidobacterium longum subsp. infantis 157F
bll	Bifidobacterium longum subsp. longum JDM301
blb	Bifidobacterium longum subsp. longum BBMN68
blm	Bifidobacterium longum subsp. longum JCM 1217
blk	Bifidobacterium longum subsp. longum KACC 91563
blg	Bifidobacterium longum subsp. longum F8
blz	Bifidobacterium longum subsp. longum GT15
blx	Bifidobacterium longum BXY01
bad	Bifidobacterium adolescentis ATCC 15703
badl	Bifidobacterium adolescentis 22L
bado	Bifidobacterium adolescentis BBMN23
bla	Bifidobacterium animalis subsp. lactis AD011
blc	Bifidobacterium animalis subsp. lactis Bl-04
blt	Bifidobacterium animalis subsp. lactis DSM 10140
bbb	Bifidobacterium animalis subsp. lactis BB-12
bbc	Bifidobacterium animalis subsp. lactis BLC1
bnm	Bifidobacterium animalis subsp. lactis CNCM I-2494
blv	Bifidobacterium animalis subsp. lactis V9
blw	Bifidobacterium animalis subsp. lactis B420
bls	Bifidobacterium animalis subsp. lactis Bi-07
bani	Bifidobacterium animalis subsp. lactis Bl12
banl	Bifidobacterium animalis subsp. lactis ATCC 27673
bni	Bifidobacterium animalis subsp. animalis ATCC 25527
banm	Bifidobacterium animalis RH
bde	Bifidobacterium dentium Bd1
bdn	Bifidobacterium dentium JCM 1195 = DSM 20436
bbp	Bifidobacterium bifidum PRL2010
bbi	Bifidobacterium bifidum S17
bbf	Bifidobacterium bifidum BGN4
bbv	Bifidobacterium breve ACS-071-V-Sch8b
bbru	Bifidobacterium breve UCC2003
bbre	Bifidobacterium breve 12L
bbrv	Bifidobacterium breve 689b
bbrj	Bifidobacterium breve JCM 7017
bbrc	Bifidobacterium breve JCM 7019
bbrn	Bifidobacterium breve NCFB 2258
bbrs	Bifidobacterium breve S27
bbrd	Bifidobacterium breve DSM 20213 = JCM 1192
bast	Bifidobacterium asteroides
btp	Bifidobacterium thermophilum
bcor	Bifidobacterium coryneforme
bka	Bifidobacterium kashiwanohense PV20-2
bks	Bifidobacterium kashiwanohense JCM 15439 = DSM 21854
bcat	Bifidobacterium catenulatum
bpsp	Bifidobacterium pseudolongum
bii	Bifidobacterium indicum
bang	Bifidobacterium angulatum
bpsc	Bifidobacterium pseudocatenulatum
bsca	Bifidobacterium scardovii
bact	Bifidobacterium actinocoloniiforme
bcho	Bifidobacterium choerinum
bgx	Bifidobacterium gallinarum
gvg	Gardnerella vaginalis ATCC 14019
gva	Gardnerella vaginalis 409-05
gvh	Gardnerella vaginalis HMP9231
sij	Scardovia inopinata
pdo	Parascardovia denticolens
tbi	Thermobispora bispora
aey	Actinopolyspora erythraea
plan	Candidatus Planktophila lacus
plak	Candidatus Planktophila dulcis
plim	Candidatus Planktophila limnetica
psuf	Candidatus Planktophila sulfonica
pvs	Candidatus Planktophila versatilis
pvn	Candidatus Planktophila vernalis
abam	Candidatus Nanopelagicus limnes
nhi	Candidatus Nanopelagicus hibericus
nab	Candidatus Nanopelagicus abundans
eke	Epidermidibacterium keratini
abai	Actinobacteria bacterium
rxy	Rubrobacter xylanophilus
rrd	Rubrobacter radiotolerans
rub	Rubrobacter sp. SCSIO 52909
bsol	Baekduia soli
cwo	Conexibacter woesei
afo	Acidimicrobium ferrooxidans
aym	Ilumatobacter coccineus
ccu	Cryptobacterium curtum
shi	Slackia heliotrinireducens
ele	Eggerthella lenta
eyy	Eggerthella sp. YY7918
gpa	Gordonibacter pamelaeae
aeq	Adlercreutzia equolifaciens
ddt	Denitrobacterium detoxificans
apv	Atopobium parvulum
ols	Olsenella uli
olo	Olsenella sp. oral taxon 807
pcat	Parolsenella catena
cgo	Coriobacterium glomerans
caer	Collinsella aerofaciens
cbac	Coriobacteriaceae bacterium 68-1-3
erz	Egibacter rhizosphaerae
euz	Euzebya sp. DY32-46
syn	Synechocystis sp. PCC 6803
syz	Synechocystis sp. PCC 6803
syy	Synechocystis sp. PCC 6803 GT-S
syt	Synechocystis sp. PCC 6803 GT-I
sys	Synechocystis sp. PCC 6803 PCC-N
syq	Synechocystis sp. PCC 6803 PCC-P
syj	Synechocystis sp. PCC 6714
syo	Synechocystis sp. IPPAS B-1465
syc	Synechococcus elongatus PCC6301
syf	Synechococcus elongatus PCC7942
syw	Synechococcus sp. WH8102
syd	Synechococcus sp. CC9605
sye	Synechococcus sp. CC9902
syg	Synechococcus sp. CC9311
syr	Synechococcus sp. RCC307
syx	Synechococcus sp. WH7803
syp	Synechococcus sp. PCC7002
cya	Synechococcus sp. JA-3-3Ab
cyb	Synechococcus sp. JA-2-3B'a(2-13)
syne	Synechococcus sp. PCC 6312
synp	Synechococcus sp. PCC 7502
synk	Synechococcus sp. KORDI-100
synr	Synechococcus sp. KORDI-49
synd	Synechococcus sp. KORDI-52
syu	Synechococcus sp. UTEX 2973
syh	Synechococcus sp. WH 8109
synw	Synechococcus sp. WH 8103
slw	Synechococcus lividus
syv	Synechococcus sp. PCC 73109
syl	Synechococcus sp. PCC 7003
sync	Synechococcus sp. CB0101
tel	Thermosynechococcus elongatus
thn	Thermosynechococcus sp. NK55
tvn	Thermosynechococcus vulcanus
thec	Thermosynechococcus sp. CL-1
cgc	Cyanobium gracile
cyi	Cyanobium sp. NIES-981
dsl	Dactylococcopsis salina
cmp	Chamaesiphon minutus
lep	Leptolyngbya sp. PCC 7376
len	Leptolyngbya sp. NIES-3755
let	Leptolyngbya sp. O-77
lbo	Leptolyngbya boryana
hhg	Halomicronema hongdechloris
pseu	Pseudanabaena sp. PCC 7367
pser	Pseudanabaena sp. ABRG5-3
pma	Prochlorococcus marinus subsp. marinus CCMP1375
pmm	Prochlorococcus marinus subsp. pastoris CCMP1986
pmt	Prochlorococcus marinus MIT 9313
pmn	Prochlorococcus marinus NATL2A
pmi	Prochlorococcus marinus MIT 9312
pmb	Prochlorococcus marinus AS9601
pmc	Prochlorococcus marinus MIT 9515
pmf	Prochlorococcus marinus MIT 9303
pmg	Prochlorococcus marinus MIT 9301
pmh	Prochlorococcus marinus MIT 9215
pmj	Prochlorococcus marinus MIT 9211
pme	Prochlorococcus marinus NATL1A
prc	Prochlorococcus sp. MIT 0604
prm	Prochlorococcus sp. MIT 0801
amr	Acaryochloris marina
theu	Thermoleptolyngbya sp. PKUAC-SCTA183
glp	Gloeocapsa sp. PCC 7428
gen	Geminocystis sp. NIES-3709
gee	Geminocystis sp. NIES-3708
chon	Chondrocystis sp. NIES-4102
mar	Microcystis aeruginosa
mpk	Microcystis panniformis
miq	Microcystis sp. MC19
mvz	Microcystis viridis
can	Cyanobacterium aponinum
csn	Cyanobacterium stanieri
cyl	Cyanobacterium sp. HL-69
hao	Halothece sp. PCC 7418
enn	Euhalothece natronophila
cyu	Candidatus Atelocyanobacterium thalassa
cyt	Crocosphaera subtropica
cwa	Crocosphaera watsonii
cyp	Rippkaea orientalis PCC 8801
cyh	Rippkaea orientalis PCC 8802
cyc	Gloeothece citriformis
cyj	Gloeothece verrucosa
cyn	Cyanothece sp. PCC 7425
ter	Trichodesmium erythraeum
mic	Microcoleus sp. PCC 7113
arp	Arthrospira platensis
pagh	Planktothrix agardhii
oxy	Oxynema sp. AP17
lfs	Limnospira fusiformis
gei	Geitlerinema sp. PCC 7407
oac	Oscillatoria acuminata
oni	Oscillatoria nigro-viridis
mpro	Moorea producens
cep	Crinalium epipsammum
gvi	Gloeobacter violaceus
glj	Gloeobacter kilaueensis
ana	Nostoc sp. PCC 7120
npu	Nostoc punctiforme
nos	Nostoc sp. PCC 7107
nop	Nostoc sp. PCC 7524
non	Nostoc sp. NIES-3756
nfl	Nostoc flagelliforme
noe	Nostoc sp. CENA543
nsh	Nostoc sphaeroides
ava	Trichormus variabilis
naz	'Nostoc azollae' 0708
anb	Anabaena sp. 90
acy	Anabaena cylindrica
awa	Anabaena sp. WA102
ann	Anabaena sp. YBS01
csg	Cylindrospermum stagnale
calo	Calothrix sp. PCC 7507
calt	Calothrix sp. PCC 6303
calh	Calothrix sp. 336/3
riv	Rivularia sp. PCC 7116
fis	Fischerella sp. NIES-3754
nsp	Nodularia spumigena
dou	Dolichospermum sp. UHCC 0315A
dfs	Dolichospermum flos-aquae
ccur	Cylindrospermopsis curvispora
toq	Tolypothrix sp. PCC 7910
ncn	Nostocales cyanobacterium HT-58-2
cthe	Chroococcidiopsis thermalis
plp	Pleurocapsa sp. PCC 7327
scs	Stanieria cyanosphaera
stan	Stanieria sp. NIES-3757
ceo	Cyanobacterium endosymbiont of Epithemia turgida
cer	Cyanobacterium endosymbiont of Rhopalodia gibberula
mbf	Candidatus Melainabacteria bacterium MEL.A1
det	Dehalococcoides mccartyi 195
deh	Dehalococcoides mccartyi CBDB1
deb	Dehalococcoides mccartyi BAV1
dev	Dehalococcoides mccartyi VS
deg	Dehalococcoides mccartyi GT
dmc	Dehalococcoides mccartyi BTF08
dmd	Dehalococcoides mccartyi DCMB5
dmg	Dehalococcoides mccartyi GY50
dmx	Dehalococcoides mccartyi CG1
dmy	Dehalococcoides mccartyi CG4
dmz	Dehalococcoides mccartyi CG5
duc	Dehalococcoides sp. UCH007
dly	Dehalogenimonas lykanthroporepellens
dew	Dehalogenimonas sp. WBC-2
dfo	Dehalogenimonas formicexedens
rrs	Roseiflexus sp. RS-1
rca	Roseiflexus castenholzii
cau	Chloroflexus aurantiacus
chl	Chloroflexus aurantiacus Y-400-fl
cag	Chloroflexus aggregans
hau	Herpetosiphon aurantiacus
tro	Thermomicrobium roseum
sti	Sphaerobacter thermophilus
atm	Anaerolinea thermophila
abat	Brevefilum fermentans
psub	Pelolinea submarina
abao	Anaerolineaceae bacterium oral taxon 439
cap	Caldilinea aerophila
pbf	Candidatus Promineofilum breve
kbs	Ktedonobacterales bacterium SCAWS-G2
tbh	Tepidiforma bonchosmolovskayae
dra	Deinococcus radiodurans
dge	Deinococcus geothermalis
ddr	Deinococcus deserti
dmr	Deinococcus maricopensis
dpt	Deinococcus proteolyticus
dgo	Deinococcus gobiensis
dpd	Deinococcus peraridilitoris
dsw	Deinococcus swuensis
dch	Deinococcus soli
dab	Deinococcus actinosclerus
dpu	Deinococcus puniceus
dez	Deinococcus irradiatisoli
dwu	Deinococcus wulumuqiensis
dfc	Deinococcus ficus
dein	Deinococcus sp. AJ005
dga	Deinococcus grandis
tra	Truepera radiovictrix
tth	Thermus thermophilus HB27
ttj	Thermus thermophilus HB8
tts	Thermus thermophilus SG0.5JP17-16
ttl	Thermus thermophilus JL-18
tsc	Thermus scotoductus
thc	Thermus sp. CCB_US3_UF1
tos	Thermus oshimai
taq	Thermus aquaticus
tpar	Thermus parvatiensis
tbc	Thermus brockianus
mrb	Meiothermus ruber DSM 1279
mre	Meiothermus ruber DSM 1279
msv	Meiothermus silvanus
mtai	Meiothermus taiwanensis
opr	Oceanithermus profundus
mhd	Marinithermus hydrothermalis
ccz	Chthonomonas calidirosea
fgi	Fimbriimonas ginsengisoli
ttr	Thermobaculum terrenum
ctr	Chlamydia trachomatis D/UW-3/CX
ctd	Chlamydia trachomatis D-EC
ctf	Chlamydia trachomatis D-LC
ctrd	Chlamydia trachomatis D/SotonD1
ctro	Chlamydia trachomatis D/SotonD5
ctrt	Chlamydia trachomatis D/SotonD6
cta	Chlamydia trachomatis A/HAR-13
cty	Chlamydia trachomatis A2497
cra	Chlamydia trachomatis A2497
ctrq	Chlamydia trachomatis A/363
ctrx	Chlamydia trachomatis A/5291
ctrz	Chlamydia trachomatis A/7249
ctrp	Chlamydia trachomatis L1/1322/p2
ctlj	Chlamydia trachomatis L1/115
ctlx	Chlamydia trachomatis L1/224
ctll	Chlamydia trachomatis L1/440/LN
ctb	Chlamydia trachomatis 434/Bu
ctrr	Chlamydia trachomatis L2/25667R
ctlf	Chlamydia trachomatis L2/434/Bu(f)
ctli	Chlamydia trachomatis L2/434/Bu(i)
ctl	Chlamydia trachomatis L2b/UCH-1/proctitis
ctru	Chlamydia trachomatis L2b/UCH-2
ctrl	Chlamydia trachomatis L2b/LST
ctrv	Chlamydia trachomatis L2b/CV204
ctrm	Chlamydia trachomatis L2b/Ams1
ctla	Chlamydia trachomatis L2b/Ams2
ctlm	Chlamydia trachomatis L2b/Ams3
ctls	Chlamydia trachomatis L2b/Ams4
ctlz	Chlamydia trachomatis L2b/Ams5
ctlc	Chlamydia trachomatis L2b/Canada1
ctln	Chlamydia trachomatis L2b/Canada2
ctlb	Chlamydia trachomatis L2b/795
ctlq	Chlamydia trachomatis L2b/8200/07
cto	Chlamydia trachomatis L2c
ctrn	Chlamydia trachomatis L3/404/LN
ctj	Chlamydia trachomatis B/Jali20/OT
ctz	Chlamydia trachomatis B/TZ1A828/OT
ctg	Chlamydia trachomatis E/11023
ctk	Chlamydia trachomatis E/150
csw	Chlamydia trachomatis Sweden2
ces	Chlamydia trachomatis E/SW3
ctrb	Chlamydia trachomatis E/Bour
ctre	Chlamydia trachomatis E/SotonE4
ctrs	Chlamydia trachomatis E/SotonE8
ctec	Chlamydia trachomatis E/C599
cfs	Chlamydia trachomatis F/SW4
cfw	Chlamydia trachomatis F/SW5
ctfw	Chlamydia trachomatis F/SWFPminus
ctrf	Chlamydia trachomatis F/SotonF3
ctch	Chlamydia trachomatis F/11-96
ctn	Chlamydia trachomatis G/11074
ctq	Chlamydia trachomatis G/11222
ctv	Chlamydia trachomatis G/9301
ctw	Chlamydia trachomatis G/9768
ctrg	Chlamydia trachomatis G/SotonG1
ctri	Chlamydia trachomatis IU824
ctra	Chlamydia trachomatis IU888
ctrh	Chlamydia trachomatis Ia/SotonIa1
ctrj	Chlamydia trachomatis Ia/SotonIa3
ctrk	Chlamydia trachomatis K/SotonK1
ctjt	Chlamydia trachomatis J/6276tet1
ctcf	Chlamydia trachomatis RC-F/69
ctfs	Chlamydia trachomatis RC-F(s)/342
cthf	Chlamydia trachomatis RC-F(s)/852
ctcj	Chlamydia trachomatis RC-J/943
cthj	Chlamydia trachomatis RC-J/953
ctmj	Chlamydia trachomatis RC-J/966
cttj	Chlamydia trachomatis RC-J/971
ctjs	Chlamydia trachomatis RC-J(s)/122
ctrc	Chlamydia trachomatis RC-L2/55
ctrw	Chlamydia trachomatis RC-L2(s)/3
ctry	Chlamydia trachomatis RC-L2(s)/46
ctct	Chlamydia trachomatis C/TW-3
cmu	Chlamydia muridarum Nigg
cmur	Chlamydia muridarum Nigg CM972
cmn	Chlamydia muridarum Nigg 2 MCR
cmm	Chlamydia muridarum Nigg3 clone G0.1.1
cmg	Chlamydia muridarum Nigg3 clone G28.38.1
cmx	Chlamydia muridarum Nigg3
cmz	Chlamydia muridarum Nigg3 CMUT3-5
cpn	Chlamydia pneumoniae CWL029
cpa	Chlamydia pneumoniae AR39
cpj	Chlamydia pneumoniae J138
cpt	Chlamydia pneumoniae TW-183
clp	Chlamydia pneumoniae LPCoLN
cpm	Chlamydia pecorum E58
cpec	Chlamydia pecorum P787
cpeo	Chlamydia pecorum PV3056/3
cper	Chlamydia pecorum W73
chp	Chlamydia psittaci 6BC
chb	Chlamydia psittaci 6BC
chs	Chlamydia psittaci 01DC11
chi	Chlamydia psittaci 02DC15
cht	Chlamydia psittaci 08DC60
chc	Chlamydia psittaci C19/98
chr	Chlamydia psittaci RD1
cpsc	Chlamydia psittaci CP3
cpsn	Chlamydia psittaci NJ1
cpsb	Chlamydia psittaci 84/55
cpsg	Chlamydia psittaci GR9
cpsm	Chlamydia psittaci M56
cpsi	Chlamydia psittaci MN
cpsv	Chlamydia psittaci VS225
cpsw	Chlamydia psittaci WC
cpst	Chlamydia psittaci WS/RT/E30
cpsd	Chlamydia psittaci 01DC12
cpsa	Chlamydia psittaci Mat116
cav	Chlamydia avium
cca	Chlamydia caviae
cab	Chlamydia abortus S26/3
cabo	Chlamydia abortus AB7
cfe	Chlamydia felis Fe/C-56
cgz	Chlamydia gallinacea
chla	Chlamydia sp. S15-834C
pcu	Candidatus Protochlamydia amoebophila
pnl	Candidatus Protochlamydia naegleriophila
puv	Parachlamydia acanthamoebae
ney	Neochlamydia sp. S13
wch	Waddlia chondrophila
sng	Simkania negevensis
ote	Opitutus terrae
obg	Lacunisphaera limnophila
vbh	Nibricoccus aquaticus HZ-65
obt	Opitutaceae bacterium TAV5
caa	Coraliomargarita akajimensis
amu	Akkermansia muciniphila
agl	Akkermansia glycaniphila
roo	Roseimicrobium sp. ORNL1
luo	Luteolibacter sp. G-1-1-1
xii	Candidatus Xiphinematobacter sp. Idaho Grape
min	Methylacidiphilum infernorum
mkc	Methylacidiphilum kamchatkense
vba	Verrucomicrobia bacterium IMCC26134
vbs	Verrucomicrobia bacterium S94
rba	Rhodopirellula baltica
psl	Pirellula staleyi
pir	Pirellula sp. SH-Sr6A
rul	Roseimaritima ulvae
mff	Mariniblastus fucicola
ttf	Thermogutta terrifontis
lpav	Lacipirellula parvula
plm	Planctopirus limnophila
peh	Planctopirus ephydatiae
pbs	Rubinisphaera brasiliensis
pls	Planctomyces sp. SH-PL14
plh	Planctomyces sp. SH-PL62
fmr	Fuerstia marisgermanicae
gmr	Gimesia maris
gim	Gimesia sp. E7
bvo	Bremerella volcania
ges	Gemmata sp. SH-PL17
gog	Gemmata obscuriglobus
gms	Gemmata massiliana
tim	Tuwongella immobilis
lrs	Limnoglobus roseus
ipa	Isosphaera pallida
saci	Singulisphaera acidiphila
pbor	Paludisphaera borealis
agv	Aquisphaera giovannonii
kst	Candidatus Kuenenia stuttgartiensis
phm	Phycisphaera mikurensis
pbu	Sedimentisphaera cyanobacteriorum L21-RPul-D3
pbp	Sedimentisphaera salicampi
pbas	Limihaloglobus sulfuriphilus
alus	Anaerohalosphaera lusitana
vbl	Kiritimatiella glycovorans
vbc	Victivallales bacterium CCUG 44730
bbu	Borreliella burgdorferi B31
bbz	Borreliella burgdorferi ZS7
bbn	Borreliella burgdorferi N40
bbj	Borreliella burgdorferi JD1
bbur	Borrelia burgdorferi CA382
bga	Borreliella bavariensis
bgb	Borreliella garinii BgVir
bgn	Borreliella garinii NMJW1
bgs	Borreliella garinii SZ
bgc	Borreliella garinii CIP 103362
baf	Borrelia afzelii (FLI)
bafz	Borrelia afzelii (Maryland)
bafh	Borrelia afzelii HLJ01
baft	Borreliella afzelii Tom3107
bafe	Borreliella afzelii K78
bbs	Borreliella bissettii
bvt	Borreliella valaisiana
bchi	Borreliella chilensis
bmay	Borrelia mayonii
btu	Borrelia turicatae
bhr	Borrelia hermsii DAH
bhi	Borrelia hermsii CC1
bdu	Borrelia duttonii
bre	Borrelia recurrentis
bcw	Borrelia crocidurae
bmo	Borrelia miyamotoi LB-2001
bmiy	Borrelia miyamotoi CT14D4
bpak	Borrelia parkeri
bane	Borrelia anserina
btur	Borrelia turcica
tpa	Treponema pallidum subsp. pallidum Nichols
tpw	Treponema pallidum subsp. pallidum Nichols
tpp	Treponema pallidum subsp. pallidum SS14
tpu	Treponema pallidum subsp. pallidum DAL-1
tph	Treponema pallidum subsp. pallidum Chicago
tpo	Treponema pallidum subsp. pallidum Mexico A
tpas	Treponema pallidum subsp. pallidum Sea 81-4
tpc	Treponema pallidum subsp. pertenue CDC2
tpg	Treponema pallidum subsp. pertenue Gauthier
tpm	Treponema pallidum subsp. pertenue SamoaD
tpb	Treponema pallidum Fribourg-Blanc
tde	Treponema denticola
tsu	Treponema succinifaciens
tbe	Treponema brennaborense
taz	Treponema azotonutricium
tpi	Treponema primitia
tpl	Treponema paraluiscuniculi
tped	Treponema pedis
scd	Treponema caldarium
tpk	Treponema putidum
trm	Treponema sp. OMZ 838
tphg	Treponema phagedenis
trz	Treponema sp. OMZ 804
ssm	Sediminispirochaeta smaragdinae
sta	Spirochaeta thermophila DSM 6192
stq	Spirochaeta thermophila DSM 6578
sfc	Spirochaeta africana
sper	Spirochaeta perfilievii
sbu	Sphaerochaeta globosa
scc	Sphaerochaeta coccoides
sgp	Sphaerochaeta pleomorpha
slr	Salinispira pacifica
ock	Oceanispirochaeta sp. K2
lil	Leptospira interrogans serovar Lai 56601
lie	Leptospira interrogans serovar Lai IPAV
lic	Leptospira interrogans serovar Copenhageni
lis	Leptospira interrogans serovar Linhai
lbj	Leptospira borgpetersenii JB197
lbl	Leptospira borgpetersenii L550
lbi	Leptospira biflexa serovar Patoc Patoc 1 (Paris)
lbf	Leptospira biflexa serovar Patoc Patoc 1 (Ames)
lst	Leptospira santarosai
laj	Leptospira tipperaryensis
lmay	Leptospira mayottensis
lkm	Leptospira kmetyi
lwl	Leptospira weilii
tpx	Turneriella parva
bhy	Brachyspira hyodysenteriae WA1
bhd	Brachyspira hyodysenteriae ATCC 27164
brm	Brachyspira murdochii
bpo	Brachyspira pilosicoli 95/1000
bpj	Brachyspira pilosicoli B2904
bpip	Brachyspira pilosicoli P43/6/78
bpw	Brachyspira pilosicoli WesB
bip	Brachyspira intermedia
bhp	Brachyspira hampsonii
aba	Candidatus Koribacter versatilis
aca	Acidobacterium capsulatum
acm	Granulicella tundricola
gma	Granulicella mallensis
