name	map_to
Organic bromates	ISA22923
Organic chlorates	HP49709; ISA24868
Organic chlorites	HP17441; ISA24869
Aminopyrimidines and derivatives	ISA38338
CDP-glycerols	ISA35774
CDP-monoacylglycerols	ISA16371
N-sulfinylhydrazines	ISA38084; HFP15571
Phosphoethanolamines	ISA36711
Aldimines	ISA33271
Nicotinamide nucleotides	ISA25527
Sulfinic acids	ISA37783
Miscellaneous mixed metal/non-metals	ISA24835
Thiodiacetic acid derivatives	ISA33261; ISA36963
Cresols	ISA51683; ISA33853
Meta cresols	ISA24751
Ortho cresols	ISA24751
Para cresols	ISA24751
Phenylpyruvic acid derivatives	ISA35910; HFP32816
Carotenoids	ISA23044
Organic chromates	ISA24868; HP35404
Sulfur mustard compounds	ISA22327; ISA36684
Alpha ketoaldehydes	ISA27659
Decamethonium compounds	ISA35273
Hexamethonium compounds	ISA35273
Terpene lactones	ISA37668
Strigolactones	ISA68487
Thiamines	ISA26948
Benzenediols	ISA33570
Thiamine phosphates	ISA26945
Dialk(en)yl-sn-glycerol-3-phosphates	ISA37739
Dialk(en)yl-sn-glycerol-3-phosphocholines	ISA72807
Indolyl carboxylic acids and derivatives	ISA46867
Pyranoquinolines	ISA26979; ISA38104; ISA38101
Cyclic alcohols and derivatives	ISA33822
Purine nucleotide sugars	ISA64711
Polyprenylbenzoquinones	ISA26255
Hydroxysteroids	ISA35350
Pyrimidine nucleotide sugars	ISA61109
Pyridine nucleotides	ISA36980
Other glycerophosphoserines	ISA35766
"1,2-diacylglycerol-3-phosphates"	ISA29089
Nicotinic acid nucleotides	ISA36976
Alkynes	ISA22339
Organic phosphonic acids	ISA15732
Organic thiophosphoric acid derivatives	ISA37512
Brevetoxins and derivatives	ISA61275
Nitroso compounds	ISA35800
Isocyanides	ISA35353
Organic chromites	ISA24868
Organic hydroperoxides	ISA35924
Organophosphine oxides	ISA59656
Benzenetriols and derivatives	ISA22707
Isoprenoid phosphates	ISA37841
"1,2-dioxanes"	ISA46926
"1,4-dioxanes"	ISA46926
"1,3-dioxanes"	ISA46926
"1,2-dioxolanes"	ISA39430
"1,3-dioxolanes"	ISA39430
Transition metal ferrates	ISA33497; HP33892
Hippuric acids	ISA16180; HFP18089
Pyrimidinecarboxylic acids and derivatives	ISA78574
Lysophosphatidic acids	ISA32957
Pyrimidinecarboxamides	ISA48438
Pyridinecarboxylic acids and derivatives	ISA26420; ISA33859
Pyrrolizidinones	ISA27171; ISA38101; ISA3992
Phosphatidylinositol monophosphates	ISA26036
Quinolizidinones	ISA26516; ISA3992
Pyridinecarboxamides	ISA25716; ISA17102
Triazolidinones	ISA29347; ISA25985
3-oxo-acyl CoAs	ISA17984
Flavin nucleotides	ISA36981
Lysophosphatidylinositol monophosphates	ISA26036
Benzoins	ISA51586
Indolizidinones	ISA73307; ISA3992
Inorganic sulfuryl halides	ISA39443
Fatty alcohols	ISA2571
"1,2-diazepines"	ISA47918
"1,4-diazepines"	ISA47918
"1,3-diazepines"	ISA47918
"1,2-oxazepines"	ISA38101; ISA38104
"1,4-oxazepines"	ISA38101; ISA38105
"1,3-oxazepines"	ISA38101; ISA38106
"1,3-oxazines"	ISA38101; ISA38107
"1,4-oxazines"	ISA38101; ISA38108
"1,2-oxazines"	ISA38101; ISA38109
Phosphatidylinositols	ISA28874
Benzaldehydes	ISA22698
Diazines	ISA38313
"1,3-thiazines"	ISA46975
"1,2-thiazines"	ISA46974
"1,4-thiazines"	ISA46976
Benzoic acid esters	ISA36054
Acyclic triterpenoids	ISA36615
Meta thiazepines	ISA48893
Ortho thiazepines	ISA48893
Para thiazepines	ISA48893
Lysophosphatidylinositols	ISA64931
Trioses	ISA27137
Acyclic diterpenoids	ISA23849
Phosphatidylglycerols	ISA17517
Alpha hydroxy acids and derivatives	ISA35868
Intermetallic alkali metal compounds	ISA33296
Anthocyanins	ISA38697
Flavanonols	ISA48039
Enones	ISA51689
Organic hydroxides	ISA25696
Alkaline earth metal chromites	ISA36364; HP35404
Sugar amino acids and derivatives	ISA63436
Phosphatidylserines	ISA18303
Thiocarbamic acid derivatives	ISA50492
Boronic acid esters	ISA50979
Organic metalloid compounds	ISA50860
Organic transition metal compounds	ISA25707; ISA33497
Organic alkali metal compounds	ISA25707; ISA35837
Ynones	ISA51723
Pyridoindolones	ISA48888
Cyanohydrins	ISA23437
Beta ketoaldehydes	ISA27659
Lysophosphatidylserines	ISA68510
Chlorinated dibenzofurans	ISA38922; ISA36683
Benzo-p-dioxins	ISA64096
N-acyl-alpha-hexosamine-1-phosphates	ISA24584
Dibenzo-p-dioxins	ISA23825
Benzo-o-dioxins	ISA64096
Benzo-m-dioxins	ISA64096
Dioxins	ISA38104
Ortho dioxins	ISA38104
Para dioxins	ISA38104
Sultims	ISA38106; ISA38101
Glucuronosphingolipids	ISA27253
Neoflavones	ISA71971
Colchicinoids	ISA38032
Hydroxycinnamic acids and derivatives	ISA24689
Lignans and norlignans	ISA26004
Phosphatidylethanolamines	ISA64674
Ceramide phosphoethanolamines	ISA73204
Other glycerophosphoethanolamines	ISA36314
Benzoxazines	ISA46969
Other glycerophosphoinositols	ISA36315
Non-metal bisulfites	ISA48857
Ceramide phosphoinositols	ISA60245
Nitrosamines	ISA35803
Menthane monoterpenoids	ISA25186
Imidazolinones	ISA20432
Ergosterols and derivatives	ISA50403
"1-alk(en)yl,2-acylglycerophosphates"	ISA37296
Lysophosphatidylethanolamines	ISA64574
Monoalk(en)ylglycerophosphates	ISA17106
Other glycerophosphates	ISA37296
Phosphatidylcholines	ISA57643
Other glycerophosphocholines	ISA36313
Xanthophylls	ISA27325
Carotenes	ISA23044
1-phosphoribosyl-imidazoles	ISA37292
Lysophosphatidylcholines	ISA60479
Monoalk(en)ylglycerophosphocholines	ISA64590
Medium-chain keto acids and derivatives	ISA25754
Short-chain keto acids and derivatives	ISA25754
1-phosphoribosyl-imidazolecarboxamides	ISA37290
Ceramides	ISA17761
Neutral glycosphingolipids	ISA36520
1-ribosyl-imidazolecarboxamides	ISA26556
Glycidol esters	ISA33308; ISA32955; HFP30966
Other hydroxyeicosapolyenoic acids	ISA23899
Thia fatty acids	ISA59643
Lysosphingomyelins and lysoglycosphingolipids	ISA35786
Sulfated fatty acids	ISA29281; ISA61697
Pyrophosphatidic acids	ISA52643
Phosphoceramides	ISA35786
Simple glycosylceramides	ISA62941
GalNAcb1-3Gala1-4Galb1-4Glc- (Globo series)	ISA18259
GalNAcb1-4GlcNAcb1-3Manb1-4Glc- (Arthro series)	ISA23075
Galb1-3GlcNAcb1-3Galb1-4Glc- (Lacto series)	ISA17292
Galb1-4GlcNAcb1-3Galb1-4Glc- (Neolacto series)	ISA20964
GalNAcb1-3Gala1-3Galb1-4Glc- (Isoglobo series)	ISA23075
Betacyanins and derivatives	ISA22861; ISA24400; HFP3079
Betalains	ISA22861
GlcNAcb1-2Mana1-3Manb1-4Glc- (Mollu series)	ISA23075
Benzoxazinones	ISA46969
Organothiophosphorus compounds	ISA25716
Gangliosides	ISA28892
Sulfatides	ISA36477
Alpha-amino acyl ester of carbohydrates	ISA52782
Other mixed metal/non-metal oxoanionic compounds	ISA24835
Triazolopyrimidines	ISA48435
Organic hypobromites	ISA24868
"Bile acids, alcohols and derivatives"	ISA3098
Thienoimidazolidines	ISA47029
Steroid glucuronide conjugates	ISA26763
Furoic acid derivatives	ISA36055
Intermetallic alkaline earth metal compounds	ISA24835
Intermetallic lanthanide compounds	ISA24835
Intermetallic actinide compounds	ISA24835
Intermetallic metalloid compounds	ISA24835
Intermetallic transition metal compounds	ISA24835
Intermetallic post-transition metal compounds	ISA24835
Tetrapyrroles and derivatives	ISA26932
Cephams	ISA35995
Penems	ISA35996
Cephamycins	ISA55429
Glycosylglycerophospholipids	ISA24397
Vitamin D and derivatives	ISA27300
Pyrethroids	HFP39100
Mannosylerythritol lipids	ISA33563
3-(3-hydroxyalkanoyloxy)alkanoic acids	ISA33308
4-hydroxy-2-alkylquinolines	ISA38774
Anatoxins	ISA37332
Estrane steroids	ISA35341; HPH23966
Androgens and derivatives	ISA36834; HR50113
"Gluco/mineralocorticoids, progestogins and derivatives"	ISA36699
Cholesterols and derivatives	ISA50401
Miscellaneous metallic oxoanionic compounds	ISA24835
Miscellaneous aluminates	ISA24835
Miscellaneous antimonates	ISA24835
Miscellaneous antimonites	ISA24835
Miscellaneous arsenates	ISA24835
Miscellaneous arsenites	ISA24835
Miscellaneous borates	ISA24835
Miscellaneous ferrates	ISA24835
Miscellaneous manganates	ISA24835
Miscellaneous molybdates	ISA24835
Miscellaneous plumbates	ISA24835
Miscellaneous plumbites	ISA24835
Miscellaneous silicates	ISA24835
Miscellaneous stannates	ISA24835
Miscellaneous stannites	ISA24835
Miscellaneous tellurates	ISA24835
Miscellaneous tellurites	ISA24835
Miscellaneous tetrahydroxyborates	ISA24835
Miscellaneous tungstates	ISA24835
Miscellaneous orthovanadates	ISA24835
Cholesteryl esters	ISA17002
Cyclic purine nucleotides	ISA36982
Cyclic pyrimidine nucleotides	ISA36983
Epibatidine analogues	ISA22315
"2',3'-cyclic purine nucleotides"	ISA19217
"2',3'-cyclic pyrimidine nucleotides"	ISA19218
Tetroses	ISA26938
Pentoses	ISA25901
Hexoses	ISA18133
Heptoses	ISA33905
Octoses	ISA25656
Nonoses	ISA63367
"3',5'-cyclic purine nucleotides"	ISA19834
"3',5'-cyclic pyrimidine nucleotides"	ISA19835
Diacylglycerophosphates	ISA26707
6-oxopurines	ISA25810
Purine nucleotides	ISA26395
Thiocarbamic acids	ISA50492; ISA35352
Organic oxoazanium compounds	ISA51143; ISA36963
Pyrimidine nucleotides	ISA26441
Lignan lactones	ISA25036; ISA25000
Lignan glycosides	ISA25036; ISA24400
Other glycerolipids	ISA35741
Alk(en)yl diacylglycerols	ISA76584
Organoastatides	ISA36684
Organobromides	ISA37141
Organochlorides	ISA36683
Organofluorides	ISA37143
Organoiodides	ISA37142
Acyl astatides	ISA36684
Organic nitrosonium compounds	ISA35352
Organic carbonic acids	ISA36963
Acyltrehaloses	ISA35748
Organic post-transition metal compounds	ISA24835
Organotin compounds	ISA25717
Other hydroperoxyeicosapolyenoic acids	ISA23899
Organic hypochlorites	ISA24868; HP29222
Diphenylacetonitriles	ISA18379
Furanoid fatty acids	ISA48847
Organoaluminium compounds	ISA51175
Benzonitriles	ISA22712; ISA18379
Urofuranic acids	ISA48847
Difurocoumarocyclopentenones	ISA23403
Difurocoumarolactones	ISA23403
Quinone and hydroquinone lipids	ISA18059
Polyprenols	ISA26199
Difurocoumarins	ISA23403
Epoxy fatty acids	ISA61498
Diterpene lactones	ISA49193
Polysaccharides	ISA18154
Monosaccharides	ISA35381
Monosaccharide phosphates	ISA26816; ISA63367
Disaccharides	ISA36233
Sesquiterpene lactones	ISA37667
Purine ribonucleotides	ISA26400
Ubiquinones	ISA16389
Vitamin E compounds	ISA39437
Vitamin K compounds	ISA28384
Alpha-halocarboxylic acids and derivatives	ISA36684
Monoterpenoids	ISA25409
Sesquiterpenoids	ISA26658
Diterpenoids	ISA23849
Sesterterpenoids	ISA26660
Triterpenoids	ISA36615
Tetraterpenoids	ISA26935
Cardenolides and derivatives	ISA74634
"1,3-diacylglycerol-2-phosphates"	ISA37739
Bufanolides and derivatives	ISA26766; HFP22934
Bufanolide glycosides and derivatives	ISA63299
Cardenolide glycosides and derivatives	ISA38092
Withanolides and derivatives	ISA74716
Withanolide glycosides and derivatives	ISA74716; ISA24400
Dihydropyridinecarboxylic acids and derivatives	ISA50075
Monocyclic monoterpenoids	ISA25409
Bicyclic monoterpenoids	ISA25409
Iridoids and derivatives	ISA50563
Enynes	ISA59831
"Pumiliotoxins, homopumiliotoxins, and allopumiliotoxins"	ISA22315
Miscellaneous inorganic compounds	ISA24835
Inorganic phosphorotrithioic acids and derivatives	ISA46612
Organophosphorotrithioic acids and derivatives	ISA37512
Organic thiophosphoric acid amides	ISA25716; ISA17102
Thiophosphoric acid esters	ISA37512
Organic thiophosphoric acid halides	ISA37579; ISA25716
Organic phosphoric acids	ISA59698
Retinoid esters	ISA16179
Allylic alcohols	ISA30879
Organic hyponitrites	ISA24868; HP33458
Benzofuranones	ISA35259
Quinodimethanes	ISA52405
Triterpene glycosides	ISA61778
Piperidinones	ISA48589
Piperidinediones	ISA48589
Flavonoid O-glycosides	ISA72544; ISA24400
Catechins	ISA23053
Sulfonamides	ISA35358
Biflavonoids and polyflavonoids	ISA72720
Catechin gallates	ISA23053
N-epsilon-acyl lysines	ISA16232
Organic hypophosphites	ISA24868; HP24759
Organic iodates	ISA24868; ISA24856
Inorganic sulfuryl bromides	ISA39443
Pterofurans	ISA35259
Bilirubins	ISA36735
Epigallocatechins	ISA23053
"Spatane and 4,10-secospatane diterpenoids"	ISA23849
Acyclic sesterterpenoids	ISA26660
1-monoacylglycerols	ISA35759
Hydroxyanthraquinones	ISA37485
Disaccharide phosphates	ISA23843
Anthraquinone glycosides	ISA22580; ISA24400
Cyclosporins	ISA24613
M-quinodimethanes	ISA52405
2-monoacylglycerols	ISA17389
Tetrahydrofuran lignans	ISA25036
Carbonyl hydrates	ISA63732
Retinoids	ISA26537
Rotenoids	ISA71543
Pterocarpans	ISA26377
Carnitines	ISA22860
Arylnaphthalene lignans	ISA25036
Carbonic acid diesters	ISA46722
Isoflavans	ISA72572
Dibenzylbutyrolactone lignans	ISA25036
Neoflavonoids	ISA71971
Flavones	ISA24043
Transition metal nitrites	ISA33497; ISA46648
Purine ribonucleoside monophosphates	ISA26397
Purine ribonucleoside diphosphates	ISA26396
Purine ribonucleoside triphosphates	ISA26398
Pyrimidine ribonucleoside monophosphates	ISA26443
Pyrimidine ribonucleoside diphosphates	ISA26442
Pyrimidine ribonucleoside triphosphates	ISA26444
Dibenzocyclooctadiene lignans	ISA25036
Dibenzylbutanediol lignans	ISA25036
Tetralin lignans	ISA25036
Phenanthrolines	ISA48835
Purine ribonucleoside polyphosphates	ISA26400
Pyrimidine ribonucleoside polyphosphates	ISA26446
Benzopyrazoles	ISA38769
Chalcones and dihydrochalcones	ISA72544
Aurone flavonoids	ISA72576
Flavanones	ISA28863
Homoisoflavones	ISA73233
Naphthofurans	ISA39270
Pyridoxal 5'-phosphates	ISA36970; HFP17310
Inorganic sulfuryl chlorides	ISA39443
Serotonins	ISA27162; HFP28790
1-acyl-sn-glycero-3-phosphocholines	ISA58168
Tetrodotoxins	ISA36470; HFP9506
Naphthopyrans	ISA26979; ISA36963
Naphthopyranones	ISA26979; ISA36963
Inorganic sulfuryl fluorides	ISA39443
2-acyl-sn-glycero-3-phosphocholines	ISA16728
"1,2-diacylglycerols"	ISA49172
Depsides and depsidones	ISA36586
Naphthopyranone glycosides	ISA64986; ISA24400
"1,3-diacylglycerols"	ISA47777
Tyrosol esters	HFP1879; ISA33308
Isochromanequinones	ISA36141
Tropones	ISA3992
Biopterins and derivatives	ISA22881
Carbonic acid ester halides	ISA36586; ISA36684
Long-chain fatty acyl CoAs	ISA33184
Benzyl esters	ISA33308
Carbonic acid monoesters	ISA46722
Acetals	ISA59769
Carboxylic acid imides	ISA35356
N-substituted carboxylic acid imides	ISA35356
N-unsubstituted carboxylic acid imides	ISA35356
Acyl cyanides	ISA18379; ISA36586
Secondary alcohols	ISA35681
Primary carboxylic acid amides	ISA37622
Secondary carboxylic acid amides	ISA37622
Tertiary carboxylic acid amides	ISA37622
Enolates	ISA36963
Thiohemiaminal derivatives	ISA33261
Carboxylic acid amide acetals	ISA33822; ISA50047
Organic diazonium salts	ISA39444
Long-chain ceramides	ISA17761
Tertiary alcohols	ISA26878
Physalins and derivatives	ISA76361
Organic thiocarbonic acid derivatives	ISA50492
Ketimines	ISA33272
Tropolones	ISA3992
Aminocyclitol glycosides	ISA61689; ISA24400
"Phosphatidylinositol-4,5-bisphosphates"	ISA37328
1-acyl-sn-glycero-3-phosphoethanolamines	ISA29017
Acyclic allenes	ISA37602
Cyclic allenes	ISA37602
2-acyl-sn-glycero-3-phosphoethanolamines	ISA28936
1-acyl-glycerol-3-phosphoserines	ISA52603
2-acyl-glycerol-3-phosphoserines	ISA26649
Monoacylglycerophosphates	ISA16961
1-acylglycerol-2-phosphates	ISA37739
1-acylglycerol-3-phosphates	ISA16975
Cucurbitacins	ISA16219
Cucurbitacin glycosides	ISA16219; ISA24400
2-acylglycerol-3-phosphates	ISA17936
Long-chain 1-acylglycerol-3-phosphates	ISA16975
Polysaccharide phosphates	ISA37639
Steroid esters	ISA47880
Sulfated steroids	ISA16158
Aminotriazines	ISA38102
Aminopyrazines	ISA38314
Oxetane amino acids and derivatives	ISA38784; ISA35352
Furanoid amino acids and derivatives	ISA24129; ISA35352
Pyranoid amino acids and derivatives	ISA38104; ISA33709
Bicyclic amino acids and derivatives	ISA35352; ISA36963
Glycopeptides and derivatives	ISA24396
Spirostanes and derivatives	ISA37948; ISA35341
Furostanes and derivatives	ISA37948; ISA35341
Furospirostanes and derivatives	ISA37948; ISA35341
Solanidines and derivatives	ISA22315; ISA35341; ISA38166
Spirosolanes and derivatives	ISA35624; ISA37948; ISA35341
Gingerols	ISA55380; ISA25235; ISA33853
Gingerdiols	ISA13643; ISA25235; ISA33853
Gingerdiones	ISA67265; ISA25235; ISA33853
Shogaols	ISA51689; ISA25235; ISA33853
Paradols	ISA17087; ISA25235; ISA33853
Hydrolyzable tannins	ISA26848
Phlorotannins	ISA71222
Complex tannins	ISA26848
Beta hydroxy acids and derivatives	ISA61355
Hydroxyquinolones	ISA23765; ISA38774
Hydroquinolines	ISA26513
Hydroquinolones	ISA26513
Oxaborine derivatives	ISA38278
Other glycerophosphoinositol phosphates	ISA35771
Other glycerophosphoglycerols	ISA24360
Lysophosphatidylglycerophosphates	ISA16961
Phosphoglycosphingolipids	ISA24402
Fatty alcohol esters	ISA33308
Wax esters	ISA10036
Pyrethrins	ISA39098
Chloropropanol esters	ISA33308; ISA36683
3-mcpd esters	ISA33308; ISA36683
Diacylglycosylglycerophospholipids	ISA24397
Quinacridines	ISA38164
Oxepanes	ISA38104
Piperidinylpyridines	ISA38207; ISA26151
Dioxopiperazines	ISA46846
Thiodioxopiperazines	ISA50492
Pyrroloindoles	ISA48133
Pyrroloquinolines	ISA50918
Furanochromones	ISA26979; ISA38104
Benzochromones	ISA64986
Flavonoid C-glycosides	ISA72544; ISA20857
Aurone O-glycosides	ISA72576; ISA24400
Chalcone- and dihydrochalcone O-glycosides	ISA72544; ISA24400
Organic antimonates	HP36921; ISA24868
Rotenoid O-glycosides	ISA71543; ISA24400
Coumaronochromones	ISA38834
Coumarin glycosides	ISA23403; ISA24400
Cyanolipids	ISA18379; ISA35748
Type 1 cyanolipids	ISA18379; ISA35748
Type 2 cyanolipids	ISA18379; ISA35749
Type 3 cyanolipids	ISA18379; ISA35750
Type 4 cyanolipids	ISA18379; ISA35751
Lysobisphosphatidic acids	ISA24360
Semilysobisphosphatidic acids	ISA24360
Bisphosphatidic acids	ISA24360
"8,2'-cyclic purine nucleotides"	ISA36982
Benzoylindoles	ISA75884
Simplexides	ISA24400; HR76507
Diterpene glycosides	ISA71939
Steviol glycosides	ISA71939
Colensane and clerodane diterpenoids	ISA23849
Dalbergiones	ISA71971
Furanoflavones	ISA71037
Dolabellane and neodolabellane diterpenoids	ISA23849
Kavalactones	ISA75885; ISA35618
Pyrroloacridines	ISA38163; ISA38101
Pyridoacridines	ISA38163; ISA38101
Pyridinium derivatives	ISA50334
Rhamnolipids	ISA33563
Fatty acyl glycosides	ISA52782; ISA61697
Gibberellins	ISA24250
Ginkgolides and bilobalides	ISA49193
Pyrroloindolizines	ISA26979; ISA38101
Guaianolides and derivatives	ISA37667
Germacranolides and derivatives	ISA73011
"Eudesmanolides, secoeudesmanolides, and derivatives"	ISA37667
Glycosylmonoacylglycerols	ISA24385
Brassinolides and derivatives	ISA22921
Amaryllidaceae alkaloids	ISA22315
Melleolides and analogues	ISA26658; ISA36054
Illudanes and illudins	ISA26658
O-quinodimethanes	ISA52405
Guanidinobenzoic acids and derivatives	ISA24436; ISA22723
Dihydrofuranoquinolines	ISA26979; ISA38104; ISA38101
Aromadendrane sesquiterpenoids	ISA26658
Erythrina alkaloids	ISA22315
Curan alkaloids	ISA38958; HPH35948
Thiaergolines	ISA38163; HFP38484
Oxamorphinans	ISA38163; HFP17303
Yohimbine alkaloids	ISA27358
Ochratoxins and related substances	ISA38762; ISA29347; ISA25985
Zearalenones	ISA25106; ISA33572
Trichothecenes	ISA55517
Epipolythiodioxopiperazines	ISA38164; ISA35489; ISA24828; ISA65061
Gliotoxins	ISA35489; ISA38163; ISA64130; HR25442
Fumonisins	ISA38224
Ellipticine alkaloids	ISA38958; HPH4776
Ajmaline-sarpagine alkaloids	ISA38958
"Sparteine, lupanine, and related alkaloids"	ISA26515
Oxocins	ISA38104
Imidazopyrimidines	ISA35875
Pyrrolotriazines	ISA38101; ISA27171
Pyrrolopyrimidines	ISA38670
"Saxitoxins, gonyautoxins, and derivatives"	ISA26979; HR76507
Kainoids	ISA46767; ISA26273; ISA35692
Okadaic acids and derivatives	ISA36468; ISA72600; HR76507
Pectenotoxins and derivatives	ISA36468; ISA72600; HR76507
Organic pyrophosphates	ISA62889
Quinuclidones	ISA26518; ISA3992
Organic arsenates	ISA50956
Spironolactones and derivatives	ISA26766
Ciguatera toxins	ISA61275
Quinacridones	ISA61878
Pyridoacridones	ISA61878
Acridones	ISA22213; HFP50756
Glycosyl-amino acids	ISA35258
Peptidomimetics	ISA32988
Phenylphosphines and derivatives	ISA35883
Glycopeptidomimetics	ISA32988
Furofurans	ISA47790
Sterigmatocystins	ISA26759
Furopyrans	ISA74927
Isoindoles and derivatives	ISA24897
Isoindolones	ISA24897
Cytochalasans	ISA75946
Oxadiazoles	ISA46685
Hopanoids	ISA51963
Hopane triterpenoids	ISA51963
Polyterpenes	ISA51960
Bacteriohopanoids	ISA51963
Isoflavanones	ISA38741
Isoflavanols	ISA76250
M-terphenyls	ISA36820
Inorganic sulfuryl iodides	ISA39443
Carbonyl compounds	ISA36586
Thiocarbonyl s-imides	ISA50492
Thienopyrroles	ISA27171; ISA38101; ISA38106
Pyrrolothiazoles	ISA27171; ISA38101; ISA38106
Pyrrolizidine oximes	ISA38101; ISA36963
O-terphenyls	ISA36820
Organic peroxynitrates	ISA24868; HP29270
Organic peroxynitrites	ISA24868; HP25941
Organoaluminates	ISA24868; ISA36668
Organostannates	ISA24868; ISA50535
Organic orthovanadates	ISA24868; HP30528
Tetrazolidines	ISA38101
Phenyltetrazolines and derivatives	ISA38101
Flavonolignans	ISA72709
Bromodiphenyl ethers	ISA35618; ISA37141
Alpha bromotoluenes	ISA27024; ISA37141
Alpha chlorotoluenes	ISA27024; ISA36683
Carbonucleotoids	ISA26816
Carbopeptoids	ISA63299
Thiophenols	ISA29256
Pyrenes	ISA59659
"1,3-aminoalcohols"	ISA22478
Trioxanes	ISA38044
Trioxolanes	ISA38104; ISA25693
Phenoxazines	ISA25970
Pyridazinoindazoles	ISA38101; ISA26979
Naphthyridines	ISA73539
Naphthyridine carboxylic acids and derivatives	ISA73539
Pyridopyrimidines	ISA38932
Pyridopyrimidine carboxylic acids and derivatives	ISA38932
Pyridinesulfonamides	ISA26421; ISA35358
Trithianes	ISA39195
Dithianes	ISA51652
Oxirane carboxylic acids and derivatives	ISA32955
Pyrrolocarbazoles	ISA38101; ISA38163
Indolocarbazoles	ISA51915
Benzotriazole nucleosides and nucleotides	ISA48912; ISA61120
Indazole nucleosides and nucleotides	ISA24780; ISA61120
Indole nucleosides and nucleotides	ISA24820; ISA61120
Naphthohydroquinones	ISA51475
Naphthalenecarboxylic acids and derivatives	ISA25477; ISA36586
P-quinodimethanes	ISA52405
Phthalides	ISA38831
Sulfonphthalides	ISA38086
Benzoxathioles	ISA38086
Azetidinecarboxylic acids or derivatives	ISA38777
Aziridinecarboxylic acids or derivatives	ISA22681
Beta amino acids and derivatives	ISA35352; ISA36963; HFP33706
Delta amino acids and derivatives	ISA35352; ISA36963; HFP35931
Gamma amino acids and derivatives	ISA35352; ISA36963; HFP33707
Thiazetidines	ISA38106; ISA38101
Beta sultams	ISA46950
Gamma sultams	ISA46950
Thiazinanes	ISA46954
Delta sultams	ISA46950
Oxathietanes	ISA38104; ISA38106
Beta sultones	ISA38088
Gamma sultones	ISA38088
Oxathianes	ISA38104; ISA38106
Isocoumarins and derivatives	ISA38758
Sulfinylbenzimidazoles	ISA22715; ISA35813
Biphenylcarbonitriles	ISA22888; ISA18379
Halopyrimidines	ISA39447; ISA36684
Thianes	ISA38106; ISA52849
Thiopyrans	ISA38106; ISA52849
Thienoquinolines	ISA38101; ISA38106; ISA26979
"1,2-aminoalcohols"	ISA22478
Organic triazenes	ISA72573
Cylindrospermopsins	ISA38101
Macrolide lactams	ISA25106; ISA24995
Beta-sulfonopeptides	ISA16670
"Alpha,beta-sulfonopeptides"	ISA16670
Pyrrolidine carboxylic acids and derivatives	ISA38260; ISA36586
Pyrimidine ribonucleoside bisphosphates	ISA25608
Sulfinylamines	ISA33261; ISA35352
Phenanthroindolizidines	ISA38101; ISA38164
Phenanthroquinolizidines	ISA38101; ISA38164
Benzoquinolines	ISA38101; ISA26979
Protoberberine alkaloids and derivatives	ISA22315
Benzoxepines	ISA38104
Anthracenecarboxylic acids and derivatives	ISA46955; ISA36586
Pyridoisoindoles	ISA38101; ISA26979
Alpha carbolines	ISA48888
Beta carbolines	ISA60834
Delta carbolines	ISA48888
Gamma carbolines	ISA48888
Aminobenzamides	ISA22702
Furopyrroles	ISA64471
Thiazinanethiones	ISA38106; ISA38101
Triazinones	ISA38102
Pyrimidinethiones	ISA48546
Triazinethiones	ISA38102; ISA50492
Thiazolidinethiones	ISA35622; ISA50492
Aminopyridazines	ISA37921
Aminobenzenesulfonamides	ISA35358; ISA22712
Metallotetrapyrroles	ISA33909
Nitropyrimidines	ISA48507
Thienothiazines	ISA46977
Thienothiazoles	ISA38101; ISA38106
Benzoxadiazoles	ISA46829
Oxatriazoles	ISA38101; ISA38104
Oxatriazolidines	ISA38101; ISA38104
Oxadiazolidines	ISA46808
Tetrahydropyridines	ISA26921
N-phenylureas	ISA47857
Aminothiophenes	ISA26961
Polyprenyl quinols	ISA26253
Peptoids	ISA16670
Peptoid-peptide hydrids	ISA16670
Urea peptoids	ISA36954
Azatides	ISA37622; HFP28306
Azapeptides	ISA16670
Polyisoxazolines	ISA55373
Oligothioureas	ISA33261; ISA35352
Vinylogous sulfonylpeptides	ISA35358
Vinylogous peptides	ISA51751
Imidazole oligoamides	ISA62733; ISA24780
Pyridoxines	ISA26421
Pyrrolin-4-one oligomers	ISA38101
Pyrrole oligoamides	ISA38101
Oligoureas	ISA36954
Oligourea amides	ISA36954
Oligosulfoxides	ISA35813
Oligosulfones	ISA35850
Oligocarbamates	ISA35352
Oligoanthrilamides	ISA32988
Imidazole-pyrrole oligo- and polyamides	ISA32988
Hydrazinopeptides	ISA32988
Alpha-sulfonopeptides	ISA32988
Alpha-phosphonopeptides	ISA32988
Depsipeptides	ISA23643
Aromatic urea oligo- and polyamides	ISA32988
Aromatic oligo- and polyamides	ISA32988
Glycodepsipeptides	ISA23643
Thienopyrans	ISA48910
Pyridoxamines	ISA26421; HFP16410
Oxolanes	ISA26912
Dibenzylbutyrolactols	ISA25036
Dibenzylbutane lignans	ISA25036
Furan lignans	ISA25036
Furofuran lignans	ISA25036
Sphingosylphosphorylcholines	ISA35786
Benzoxazolones	ISA46700
Piperidinecarboxylic acids and derivatives	ISA26151; ISA36586
Pyrrolidinylpyridines	ISA38260; ISA26421
Pyridinylpiperazines	ISA26421; ISA26144
Pyrimidinylpiperazines	ISA26144; ISA39447
Bipyrimidines and oligopyrimidines	ISA64459
Imidazodiazepines	ISA39305
